regionID,constellationID,solarSystemID,solarSystemName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,luminosity,border,fringe,corridor,hub,international,regional,constellation,security,factionID,radius,sunTypeID,securityClass
10000001,20000001,30000001,Tanoo,-88510792599980580,42369443966878880,-44513525346479660,0,0,0,0,0,0,0.01575,1,0,0,1,1,1,None,0.858324,500007,1323338301440,45041,B
10000001,20000001,30000002,Lashesih,-103300968263126460,41707503568269944,-29856304129795090,0,0,0,0,0,0,0.01282,1,0,1,0,1,1,None,0.7516890000000001,500007,1018400014336,45037,B
10000001,20000001,30000003,Akpivem,-91174141133075340,43938227486247170,-56482824383339900,0,0,0,0,0,0,0.6213,1,0,0,1,0,0,None,0.846292,500007,2473362456576,3799,B
10000001,20000001,30000004,Jark,-93675926352178930,50604244962328910,-28403529106921656,0,0,0,0,0,0,0.3461,1,0,1,0,1,1,None,0.817001,500007,1771412258816,45030,B
10000001,20000001,30000005,Sasta,-94782157961997600,43126247352903336,-31896707679917976,0,0,0,0,0,0,0.02403,1,0,0,1,0,0,None,0.814337,500007,2563946315776,45040,B
10000001,20000001,30000006,Zaid,-84792151138856220,52313455798179330,-57073934529882270,0,0,0,0,0,0,0.02324,1,0,1,0,0,0,None,0.864229,500007,1734441959424,45031,B
10000001,20000001,30000007,Yuzier,-90367509013110180,53447700930943336,-49040399037769860,0,0,0,0,0,0,0.01469,0,0,0,1,0,0,None,0.906556,500007,1297306222592,3800,B
10000001,20000001,30000008,Nirbhi,-91576103536388480,57332802739327740,-55255057964526300,0,0,0,0,0,0,0.03981,1,0,0,1,0,0,None,0.882116,500007,3716798480384,45039,B
10000001,20000002,30000009,Sooma,-84094731140215220,69205928804160690,-75226052138828820,0,0,0,0,0,0,0.01479,0,1,0,0,0,0,None,0.577819,500007,1835829297152,45039,B1
10000001,20000002,30000010,Chidah,-80588856520120750,61645557287376780,-79770931668461890,0,0,0,0,0,0,0.07498,0,0,0,1,0,0,None,0.539052,500007,2834263179264,8,B1
10000001,20000002,30000011,Shenela,-69575463334855190,57122325440514740,-80659835202844560,0,0,0,0,0,0,0.0138,1,0,1,0,0,0,None,0.456959,500007,1295576072192,45040,B1
10000001,20000002,30000012,Asabona,-88787078299773150,57530354513983710,-96309075103911460,0,0,0,0,0,0,0.7113,1,0,1,0,0,0,None,0.322884,500007,3075451650048,3799,B2
10000001,20000002,30000013,Onsooh,-81778742628362050,60252693661956890,-86635426626176720,0,0,0,0,0,0,0.9844,0,0,0,1,0,0,None,0.442817,500007,3468485722112,45047,B2
10000001,20000002,30000014,Shamahi,-77750709738421140,71722533435110290,-87922010890003860,0,0,0,0,0,0,0.569,1,0,0,1,0,0,None,0.355242,500007,4388111777792,3797,B2
10000001,20000002,30000015,Sendaya,-75035885475239840,47720998611999976,-95172408294045200,0,0,0,0,0,0,0.08104,1,0,0,1,0,0,None,0.293933,500007,2835135856640,45037,B2
10000001,20000002,30000016,Nazhgete,-83631155296696930,63723785397160290,-89813789948513860,0,0,0,0,0,0,0.01396,0,1,0,0,0,0,None,0.391497,500007,1414100418560,45039,B2
10000001,20000003,30000017,Futzchag,-64098583968529480,41271973465565160,-101139230377518850,0,0,0,0,0,0,0.7871,0,0,0,1,0,0,None,0.172229,500007,4132975935488,3801,B3
10000001,20000003,30000018,Kazna,-70142424691246250,38488582153190370,-96720410106924370,0,0,0,0,0,0,1.501,1,0,0,1,0,0,None,0.231263,500007,2506119708672,3799,B3
10000001,20000003,30000019,Podion,-58709857801616320,26044509386392230,-101528995159067870,0,0,0,0,0,0,0.07842,0,1,0,0,0,0,None,0.109705,500007,2620460892160,45037,B3
10000001,20000003,30000020,Lilmad,-72855380319923860,52909926114435770,-108165273935479890,0,0,0,0,0,0,1.172,0,1,0,0,0,0,None,0.160449,500007,5267543031808,3797,B3
10000070,20000788,30000021,Kuharah,-74379810853747820,32538969531086932,-100531188490154140,0,0,0,0,0,0,2.566,0,0,1,0,0,0,None,-1,500026,5348679221248,56098,B3
10000001,20000003,30000022,Jayneleb,-60839427954196584,33031790950289316,-105458726104477460,0,0,0,0,0,0,0.1426,0,0,1,0,0,0,None,0.11384,500007,5893956567040,45032,B3
10000001,20000004,30000023,Fovihi,-81553344112251150,50451257411607416,-51154633880983650,0,0,0,0,0,0,1.08,1,0,0,1,0,0,None,0.869394,500007,2969284378624,45034,B
10000001,20000004,30000024,Kiereend,-77479080911142750,51134179715466936,-47885233482498210,0,0,0,0,0,0,0.01944,0,0,0,1,0,0,None,0.840835,500007,1462680682496,45031,B
10000001,20000004,30000025,Rashy,-74181058770878320,50998790158899710,-44291930310919944,0,0,0,0,0,0,0.1276,0,0,0,1,0,0,None,0.803266,500007,3044933107712,7,B
10000001,20000004,30000026,Ordize,-66874602332344010,47305539439210580,-41604451379855070,0,0,0,0,0,0,0.2079,0,0,0,1,0,0,None,0.695564,500007,4739299278848,3798,B1
10000001,20000004,30000027,Psasa,-72183885785340300,42984409865412610,-45081203993618410,0,0,0,0,0,0,0.4201,0,0,0,1,0,0,None,0.7499130000000001,500007,1980465676288,45033,B1
10000001,20000004,30000028,Eshtah,-71223584228661950,50752785941188930,-46482687207260970,0,0,0,0,0,0,0.1457,1,0,0,1,0,0,None,0.768433,500007,5016556404736,45032,B
